name,region,population
Afghanistan,ASIA (EX. NEAR EAST),31056997
Albania,EASTERN EUROPE,3581655
Algeria,NORTHERN AFRICA,32930091
American Samoa,OCEANIA,57794
Andorra,WESTERN EUROPE,71201
Angola,SUB-SAHARAN AFRICA,12127071
Anguilla,LATIN AMER. & CARIB,13477
Antigua & Barbuda,LATIN AMER. & CARIB,69108
Argentina,LATIN AMER. & CARIB,39921833
Armenia,C.W. OF IND. STATES,2976372
Aruba,LATIN AMER. & CARIB,71891
Australia,OCEANIA,20264082
Austria,WESTERN EUROPE,8192880
Azerbaijan,C.W. OF IND. STATES,7961619
The Bahamas,LATIN AMER. & CARIB,303770
Bahrain,NEAR EAST,698585
Bangladesh,ASIA (EX. NEAR EAST),147365352
Barbados,LATIN AMER. & CARIB,279912
Belarus,C.W. OF IND. STATES,10293011
Belgium,WESTERN EUROPE,10379067
Belize,LATIN AMER. & CARIB,287730
Benin,SUB-SAHARAN AFRICA,7862944
Bermuda,NORTHERN AMERICA,65773
Bhutan,ASIA (EX. NEAR EAST),2279723
Bolivia,LATIN AMER. & CARIB,8989046
Bosnia and Herzegovina,EASTERN EUROPE,4498976
Botswana,SUB-SAHARAN AFRICA,1639833
Brazil,LATIN AMER. & CARIB,188078227
British Virgin Is.,LATIN AMER. & CARIB,23098
Brunei,ASIA (EX. NEAR EAST),379444
Bulgaria,EASTERN EUROPE,7385367
Burkina Faso,SUB-SAHARAN AFRICA,13902972
Burma,ASIA (EX. NEAR EAST),47382633
Burundi,SUB-SAHARAN AFRICA,8090068
Cambodia,ASIA (EX. NEAR EAST),13881427
Cameroon,SUB-SAHARAN AFRICA,17340702
Canada,NORTHERN AMERICA,33098932
Cape Verde,SUB-SAHARAN AFRICA,420979
Cayman Islands,LATIN AMER. & CARIB,45436
Central African Rep.,SUB-SAHARAN AFRICA,4303356
Chad,SUB-SAHARAN AFRICA,9944201
Chile,LATIN AMER. & CARIB,16134219
China,ASIA (EX. NEAR EAST),1313973713
Colombia,LATIN AMER. & CARIB,43593035
Comoros,SUB-SAHARAN AFRICA,690948
Democratic Republic of the Congo,SUB-SAHARAN AFRICA,66362865
Cook Islands,OCEANIA,21388
Costa Rica,LATIN AMER. & CARIB,4075261
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843
Croatia,EASTERN EUROPE,4494749
Cuba,LATIN AMER. & CARIB,11382820
Cyprus,NEAR EAST,784301
Czech Republic,EASTERN EUROPE,10235455
Denmark,WESTERN EUROPE,5450661
Djibouti,SUB-SAHARAN AFRICA,486530
Dominica,LATIN AMER. & CARIB,68910
Dominican Republic,LATIN AMER. & CARIB,9183984
East Timor,ASIA (EX. NEAR EAST),1062777
Ecuador,LATIN AMER. & CARIB,13547510
Egypt,NORTHERN AFRICA,78887007
El Salvador,LATIN AMER. & CARIB,6822378
Equatorial Guinea,SUB-SAHARAN AFRICA,540109
Eritrea,SUB-SAHARAN AFRICA,4786994
Estonia,BALTICS,1324333
Ethiopia,SUB-SAHARAN AFRICA,74777981
Faroe Islands,WESTERN EUROPE,47246
Fiji,OCEANIA,905949
Finland,WESTERN EUROPE,5231372
France,WESTERN EUROPE,60876136
French Guiana,LATIN AMER. & CARIB,199509
French Polynesia,OCEANIA,274578
Gabon,SUB-SAHARAN AFRICA,1424906
The Gambia ,SUB-SAHARAN AFRICA,1641564
Gaza Strip,NEAR EAST,1428757
Georgia,C.W. OF IND. STATES,4661473
Germany,WESTERN EUROPE,82422299
Ghana,SUB-SAHARAN AFRICA,22409572
Gibraltar,WESTERN EUROPE,27928
Greece,WESTERN EUROPE,10688058
Greenland,NORTHERN AMERICA,56361
Grenada,LATIN AMER. & CARIB,89703
Guadeloupe,LATIN AMER. & CARIB,452776
Guam,OCEANIA,171019
Guatemala,LATIN AMER. & CARIB,12293545
Guernsey,WESTERN EUROPE,65409
Guinea,SUB-SAHARAN AFRICA,9690222
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029
Guyana,LATIN AMER. & CARIB,767245
Haiti,LATIN AMER. & CARIB,8308504
Honduras,LATIN AMER. & CARIB,7326496
Hong Kong,ASIA (EX. NEAR EAST),6940432
Hungary,EASTERN EUROPE,9981334
Iceland,WESTERN EUROPE,299388
India,ASIA (EX. NEAR EAST),1095351995
Indonesia,ASIA (EX. NEAR EAST),245452739
Iran,ASIA (EX. NEAR EAST),68688433
Iraq,NEAR EAST,26783383
Ireland,WESTERN EUROPE,4062235
Isle of Man,WESTERN EUROPE,75441
Israel,NEAR EAST,6352117
Italy,WESTERN EUROPE,58133509
Jamaica,LATIN AMER. & CARIB,2758124
Japan,ASIA (EX. NEAR EAST),127463611
Jersey,WESTERN EUROPE,91084
Jordan,NEAR EAST,5906760
Kazakhstan,C.W. OF IND. STATES,15233244
Kenya,SUB-SAHARAN AFRICA,34707817
Kiribati,OCEANIA,105432
North Korea,ASIA (EX. NEAR EAST),23113019
South Korea,ASIA (EX. NEAR EAST),48846823
Kuwait,NEAR EAST,2418393
Kyrgyzstan,C.W. OF IND. STATES,5213898
Laos,ASIA (EX. NEAR EAST),6368481
Latvia,BALTICS,2274735
Lebanon,NEAR EAST,3874050
Lesotho,SUB-SAHARAN AFRICA,2022331
Liberia,SUB-SAHARAN AFRICA,3042004
Libya,NORTHERN AFRICA,5900754
Liechtenstein,WESTERN EUROPE,33987
Lithuania,BALTICS,3585906
Luxembourg,WESTERN EUROPE,474413
Macau,ASIA (EX. NEAR EAST),453125
Macedonia,EASTERN EUROPE,2050554
Madagascar,SUB-SAHARAN AFRICA,18595469
Malawi,SUB-SAHARAN AFRICA,13013926
Malaysia,ASIA (EX. NEAR EAST),24385858
Maldives,ASIA (EX. NEAR EAST),359008
Mali,SUB-SAHARAN AFRICA,11716829
Malta,WESTERN EUROPE,400214
Marshall Islands,OCEANIA,60422
Martinique,LATIN AMER. & CARIB,436131
Mauritania,SUB-SAHARAN AFRICA,3177388
Mauritius,SUB-SAHARAN AFRICA,1240827
Mayotte,SUB-SAHARAN AFRICA,201234
Mexico,LATIN AMER. & CARIB,107449525
Micronesia,OCEANIA,108004
Moldova,C.W. OF IND. STATES,4466706
Monaco,WESTERN EUROPE,32543
Mongolia,ASIA (EX. NEAR EAST),2832224
Montenegro,EASTERN EUROPE,622359
Montserrat,LATIN AMER. & CARIB,9439
Morocco,NORTHERN AFRICA,33241259
Mozambique,SUB-SAHARAN AFRICA,19686505
N. Mariana Islands,OCEANIA,82459
Namibia,SUB-SAHARAN AFRICA,2044147
Nauru,OCEANIA,13287
Nepal,ASIA (EX. NEAR EAST),28287147
Netherlands,WESTERN EUROPE,16491461
Netherlands Antilles,LATIN AMER. & CARIB,221736
New Caledonia,OCEANIA,219246
New Zealand,OCEANIA,4076140
Nicaragua,LATIN AMER. & CARIB,5570129
Niger,SUB-SAHARAN AFRICA,12525094
Nigeria,SUB-SAHARAN AFRICA,131859731
Norway,WESTERN EUROPE,4610820
Oman,NEAR EAST,3102229
Pakistan,ASIA (EX. NEAR EAST),165803560
Palau,OCEANIA,20579
Panama,LATIN AMER. & CARIB,3191319
Papua New Guinea,OCEANIA,5670544
Paraguay,LATIN AMER. & CARIB,6506464
Peru,LATIN AMER. & CARIB,28302603
Philippines,ASIA (EX. NEAR EAST),89468677
Poland,EASTERN EUROPE,38536869
Portugal,WESTERN EUROPE,10605870
Puerto Rico,LATIN AMER. & CARIB,3927188
Qatar,NEAR EAST,885359
Reunion,SUB-SAHARAN AFRICA,787584
Romania,EASTERN EUROPE,22303552
Russia,C.W. OF IND. STATES,142893540
Rwanda,SUB-SAHARAN AFRICA,8648248
Saint Helena,SUB-SAHARAN AFRICA,7502
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129
Saint Lucia,LATIN AMER. & CARIB,168458
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848
Samoa,OCEANIA,176908
San Marino,WESTERN EUROPE,29251
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413
Saudi Arabia,NEAR EAST,27019731
Senegal,SUB-SAHARAN AFRICA,11987121
Serbia,EASTERN EUROPE,9396411
Seychelles,SUB-SAHARAN AFRICA,81541
Sierra Leone,SUB-SAHARAN AFRICA,6005250
Singapore,ASIA (EX. NEAR EAST),4492150
Slovakia,EASTERN EUROPE,5439448
Slovenia,EASTERN EUROPE,2010347
Solomon Islands,OCEANIA,552438
Somalia,SUB-SAHARAN AFRICA,8863338
South Africa,SUB-SAHARAN AFRICA,44187637
Spain,WESTERN EUROPE,40397842
Sri Lanka,ASIA (EX. NEAR EAST),20222240
St Pierre & Miquelon,NORTHERN AMERICA,7026
Sudan,SUB-SAHARAN AFRICA,41236378
Suriname,LATIN AMER. & CARIB,439117
Swaziland,SUB-SAHARAN AFRICA,1136334
Sweden,WESTERN EUROPE,9016596
Switzerland,WESTERN EUROPE,7523934
Syria,NEAR EAST,18881361
Taiwan,ASIA (EX. NEAR EAST),23036087
Tajikistan,C.W. OF IND. STATES,7320815
Tanzania,SUB-SAHARAN AFRICA,37445392
Thailand,ASIA (EX. NEAR EAST),64631595
Togo,SUB-SAHARAN AFRICA,5548702
Tonga,OCEANIA,114689
Trinidad & Tobago,LATIN AMER. & CARIB,1065842
Tunisia,NORTHERN AFRICA,10175014
Turkey,NEAR EAST,70413958
Turkmenistan,C.W. OF IND. STATES,5042920
Turks & Caicos Is,LATIN AMER. & CARIB,21152
Tuvalu,OCEANIA,11810
Uganda,SUB-SAHARAN AFRICA,28195754
Ukraine,C.W. OF IND. STATES,46710816
United Arab Emirates,NEAR EAST,2602713
United Kingdom,WESTERN EUROPE,60609153
United States,NORTHERN AMERICA,298444215
Uruguay,LATIN AMER. & CARIB,3431932
Uzbekistan,C.W. OF IND. STATES,27307134
Vanuatu,OCEANIA,208869
Venezuela,LATIN AMER. & CARIB,25730435
Vietnam,ASIA (EX. NEAR EAST),84402966
Virgin Islands,LATIN AMER. & CARIB,108605
Wallis and Futuna,OCEANIA,16025
West Bank,NEAR EAST,2460492
Western Sahara,NORTHERN AFRICA,273008
Yemen,NEAR EAST,21456188
Zambia,SUB-SAHARAN AFRICA,11502010
Zimbabwe,SUB-SAHARAN AFRICA,12236805
